matrix,sparskit,mkl,taco,ours1,ours2
pdb1HYS,58.689,61.83,60.7,326.589,54.572
jnlbrng1,0.871,1.283,0.902,13.039,2.717
obstclae,0.869,1.287,0.894,12.938,2.746 
chem_master1,0.826,1.308,0.823,22.747,4.616
rma10,10.772,15.445,10.959,317.007,56.880
dixmaanl,1.486,1.984,1.526,20.380,3.914
cant,24.296,31.536,29.893,270.644,39.916
shyy161,1.326,2.103,1.37,39.738,8.317
consph,68.653,77.033,71.651,439.310,61.231
denormal,5.372,7.074,6.053,84.767,15.904
Baumann,3.095,4.908,3.076,105.097,19.739
cop20k_A,52.197,55.466,72.445,185.294,26.487
shipsec1,88.12,101.547,91.707,568.230,82.044
majorbasis,7.052,11.661,7.431,227.454,34.506
scircuit,3.718,6.81,4.003,127.891,27.506
mac_econ_fwd500,5.427,8.427,5.482,182.614,23.741
pwtk,136.737,154.51,140.238,914.372,121.381
Lin,8.856,11.436,9.53,135.576,25.294
ecology1,44.785,56.594,46.021,445.557,54.200
webbase_1M,15.033,22.893,15.305,468.514,71.257
atmosmodd,91.094,122.545,99.671,1450.931,162.351
